"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","Quantifier","Matrix","WhichCategory","Subject","Predicate","SentType","Verb","Embedded","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal"
"1",1589215372,"002278de841a3d958f419565630e9881","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1589215203144,"AE63GABJL0FGJ","NULL","","","","","","","","",NA,"","","","","","bn","2","MA"
"2",1589215372,"002278de841a3d958f419565630e9881","PennController",0,0,"intro","NULL","TextInput","ID","First","",1589215205354,"AE63GABJL0FGJ","Control","","","","","","","","",NA,"","","","","","bn","2","MA"
"3",1589215372,"002278de841a3d958f419565630e9881","PennController",0,0,"intro","NULL","TextInput","ID","Final","AE63GABJL0FGJ",1589215210130,"AE63GABJL0FGJ","NULL","","","","","","","","",NA,"","","","","","bn","2","MA"
"4",1589215372,"002278de841a3d958f419565630e9881","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1589215210130,"AE63GABJL0FGJ","NULL","","","","","","","","",NA,"","","","","","bn","2","MA"
"5",1589215372,"002278de841a3d958f419565630e9881","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","Start",1589215210139,"NULL","","","","","","","","","",NA,"","","","","","bn","2","MA"
"6",1589215372,"002278de841a3d958f419565630e9881","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","End",1589215214244,"NULL","","","","","","","","","",NA,"","","","","","bn","2","MA"
"7",1589215372,"002278de841a3d958f419565630e9881","DashedSentence",2,0,"Train","NULL","Houses can be made of wood","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","2","MA"
"8",1589215372,"002278de841a3d958f419565630e9881","PennController",2,1,"Train","NULL","PennController","4","_Trial_","Start",1589215216277,"AE63GABJL0FGJ","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"9",1589215372,"002278de841a3d958f419565630e9881","PennController",2,1,"Train","NULL","Text","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","Print",NA,1589215216294,"AE63GABJL0FGJ","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"10",1589215372,"002278de841a3d958f419565630e9881","PennController",2,1,"Train","NULL","Selector","unnamed-Selector","Selection","Agree",1589215218325,"AE63GABJL0FGJ","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"11",1589215372,"002278de841a3d958f419565630e9881","PennController",2,1,"Train","NULL","PennController","4","_Trial_","End",1589215218331,"AE63GABJL0FGJ","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"12",1589215372,"002278de841a3d958f419565630e9881","DashedSentence",3,0,"Train","NULL","Airplanes fly under water","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","2","MA"
"13",1589215372,"002278de841a3d958f419565630e9881","PennController",3,1,"Train","NULL","PennController","5","_Trial_","Start",1589215219659,"AE63GABJL0FGJ","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"14",1589215372,"002278de841a3d958f419565630e9881","PennController",3,1,"Train","NULL","Text","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","Print",NA,1589215219678,"AE63GABJL0FGJ","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"15",1589215372,"002278de841a3d958f419565630e9881","PennController",3,1,"Train","NULL","Selector","unnamed-Selector","Selection","Disagree",1589215221337,"AE63GABJL0FGJ","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"16",1589215372,"002278de841a3d958f419565630e9881","PennController",3,1,"Train","NULL","PennController","5","_Trial_","End",1589215221341,"AE63GABJL0FGJ","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"17",1589215372,"002278de841a3d958f419565630e9881","DashedSentence",4,0,"Train","NULL","Dinosaurs are extinct","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","2","MA"
"18",1589215372,"002278de841a3d958f419565630e9881","PennController",4,1,"Train","NULL","PennController","6","_Trial_","Start",1589215222308,"AE63GABJL0FGJ","train_T","Dinosaurs are extinct","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"19",1589215372,"002278de841a3d958f419565630e9881","PennController",4,1,"Train","NULL","Text","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","Print",NA,1589215222318,"AE63GABJL0FGJ","train_T","Dinosaurs are extinct","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"20",1589215372,"002278de841a3d958f419565630e9881","PennController",4,1,"Train","NULL","Selector","unnamed-Selector","Selection","Agree",1589215222800,"AE63GABJL0FGJ","train_T","Dinosaurs are extinct","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"21",1589215372,"002278de841a3d958f419565630e9881","PennController",4,1,"Train","NULL","PennController","6","_Trial_","End",1589215222803,"AE63GABJL0FGJ","train_T","Dinosaurs are extinct","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"22",1589215372,"002278de841a3d958f419565630e9881","DashedSentence",5,0,"Train","NULL","California is the capitol of the US","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","2","MA"
"23",1589215372,"002278de841a3d958f419565630e9881","PennController",5,1,"Train","NULL","PennController","7","_Trial_","Start",1589215225179,"AE63GABJL0FGJ","train_F","California is the capitol of the US","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"24",1589215372,"002278de841a3d958f419565630e9881","PennController",5,1,"Train","NULL","Text","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","Print",NA,1589215225190,"AE63GABJL0FGJ","train_F","California is the capitol of the US","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"25",1589215372,"002278de841a3d958f419565630e9881","PennController",5,1,"Train","NULL","Selector","unnamed-Selector","Selection","Disagree",1589215226176,"AE63GABJL0FGJ","train_F","California is the capitol of the US","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"26",1589215372,"002278de841a3d958f419565630e9881","PennController",5,1,"Train","NULL","PennController","7","_Trial_","End",1589215226178,"AE63GABJL0FGJ","train_F","California is the capitol of the US","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"27",1589215372,"002278de841a3d958f419565630e9881","DashedSentence",6,0,"Train","NULL","Historians think that George Washington was a US president","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","2","MA"
"28",1589215372,"002278de841a3d958f419565630e9881","PennController",6,1,"Train","NULL","PennController","8","_Trial_","Start",1589215229261,"AE63GABJL0FGJ","train_think_T","Historians think that George Washington was a US president","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"29",1589215372,"002278de841a3d958f419565630e9881","PennController",6,1,"Train","NULL","Text","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","Print",NA,1589215229272,"AE63GABJL0FGJ","train_think_T","Historians think that George Washington was a US president","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"30",1589215372,"002278de841a3d958f419565630e9881","PennController",6,1,"Train","NULL","Selector","unnamed-Selector","Selection","Agree",1589215230457,"AE63GABJL0FGJ","train_think_T","Historians think that George Washington was a US president","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"31",1589215372,"002278de841a3d958f419565630e9881","PennController",6,1,"Train","NULL","PennController","8","_Trial_","End",1589215230461,"AE63GABJL0FGJ","train_think_T","Historians think that George Washington was a US president","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
"32",1589215372,"002278de841a3d958f419565630e9881","DashedSentence",7,0,"Train","NULL","Geographers think that Spain is in Africa","","","",NA,"","","","","","","","","","",NA,"","","","","","bn","2","MA"
"33",1589215372,"002278de841a3d958f419565630e9881","PennController",7,1,"Train","NULL","PennController","9","_Trial_","Start",1589215232834,"AE63GABJL0FGJ","train_think_F","Geographers think that Spain is in Africa","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","2","MA"
