"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","WhichCategory","Matrix","Subject","Predicate","SentType","Negation","CompTruth","SubStat","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal"
"1",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1589284523175,"A1YILFU07P6DND","NULL","","","","","","",NA,NA,"","","","","","","cb","1","MA"
"2",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",0,0,"intro","NULL","TextInput","ID","Final","A1YILFU07P6DND",1589284527198,"A1YILFU07P6DND","NULL","","","","","","",NA,NA,"","","","","","","cb","1","MA"
"3",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1589284527198,"A1YILFU07P6DND","NULL","","","","","","",NA,NA,"","","","","","","cb","1","MA"
"4",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","Start",1589284527202,"NULL","","","","","","","",NA,NA,"","","","","","","cb","1","MA"
"5",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","End",1589284534056,"NULL","","","","","","","",NA,NA,"","","","","","","cb","1","MA"
"6",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","DashedSentence",2,0,"Train","NULL","Houses can be made of wood.","","","",NA,"","","","","","","","",NA,NA,"","","","","","","cb","1","MA"
"7",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,1,"Train","NULL","PennController","4","_Trial_","Start",1589284536109,"A1YILFU07P6DND","train_T","Houses can be made of wood.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","1","MA"
"8",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,1,"Train","NULL","Text","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","Print",NA,1589284536113,"A1YILFU07P6DND","train_T","Houses can be made of wood.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","1","MA"
"9",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,1,"Train","NULL","Selector","unnamed-Selector","Selection","Disagree",1589284536716,"A1YILFU07P6DND","train_T","Houses can be made of wood.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","1","MA"
"10",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,1,"Train","NULL","PennController","4","_Trial_","End",1589284536718,"A1YILFU07P6DND","train_T","Houses can be made of wood.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","1","MA"
"11",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","DashedSentence",3,0,"Train","NULL","Airplanes fly under water.","","","",NA,"","","","","","","","",NA,NA,"","","","","","","cb","1","MA"
"12",1589284619,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",3,1,"Train","NULL","PennController","5","_Trial_","Start",1589284538044,"A1YILFU07P6DND","train_F","Airplanes fly under water.","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,NA,"","","","","","","cb","1","MA"
