"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","Quantifier","Matrix","WhichCategory","Subject","Predicate","SentType","Verb","Embedded","Token","MatchingCategory","MismatchingCategory","Group","Comments"
"1",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1587059156097,"NULL","","","","","","","","","",NA,"","","","",""
"2",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1587059157988,"NULL","","","","","","","","","",NA,"","","","",""
"3",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",1,0,"consent","NULL","PennController","1","_Trial_","Start",1587059157991," 19663","NULL","","","","","","","","",NA,"","","","",""
"4",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",1,0,"consent","NULL","TextInput","ID","Final"," 19663",1587059163248," 19663","NULL","","","","","","","","",NA,"","","","",""
"5",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",1,0,"consent","NULL","TextInput","ID","First","",1587059159562," 19663","Control","","","","","","","","",NA,"","","","",""
"6",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",1,0,"consent","NULL","PennController","1","_Trial_","End",1587059163248," 19663","NULL","","","","","","","","",NA,"","","","",""
"7",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",2,0,"demo","NULL","PennController","2","_Trial_","Start",1587059163250,"English","Telugu%2C hindi","NULL","","","","","","","",NA,"","","","",""
"8",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",2,0,"demo","NULL","TextInput","NativeLang","Final","English",1587059180552,"English","Telugu%2C hindi","NULL","","","","","","","",NA,"","","","",""
"9",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",2,0,"demo","NULL","TextInput","NativeLang","First","",1587059170907,"English","Telugu%2C hindi","Shift","","","","","","","",NA,"","","","",""
"10",1587059420,"f3264d1b6895e4a5efc13afe428a28ef","PennController",2,0,"demo","NULL","PennController","2","_Trial_","End",1587059180553,"English","Telugu%2C hindi","NULL","","","","","","","",NA,"","","","",""
